recordId,Title,type of object,Category,Person / organisation - Role,Date / Period,Place,Association,Material /Technique,Accession number,Museum department,object_url
454020,Attic red-figure stemmed pottery cup depicting an athletics scene,container > vessel > cup > drinking-cup > stemmed cup > kylix > cup type B,ceramics,,"400 BCE - 370 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1943.53,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-454020
471063,Attic black-figure pottery stemmed cup depicting a Dionysiac scene,container > vessel > cup > drinking-cup > stemmed cup > kylix > cup type A,ceramics, - ,"530 BCE - 500 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1947.109,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-471063
471266,Attic black-figure pottery chous,container > vessel > jug > wine-jug > oinochoe,ceramics, - ,"490 BCE - 460 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1925.142,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-471266
471267,Attic black-figure pottery cup depicting a symposion scene,container > vessel > cup > drinking-cup > mastoid cup,ceramics, - ,"500 BCE - 470 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1947.243,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-471267
471375,Attic black-figure pottery amphora depicting a race,container > vessel > storage vessel > amphora > neck-amphora,ceramics, - ,"500 BCE - 480 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1941.1248,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-471375
459861,Attic red-figure askos depicting a hound chasing a hare,container > oil-container > perfume bottle > unguent jar > askos,ceramics, - ,"430 BCE - 420 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Ukraine > Krym > Nymphaion, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1885.498,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-459861
471664,Attic black-figure pottery stemmed cup,container > vessel > cup > drinking-cup > stemmed cup > kylix > siana cup,ceramics, - ,"575 BCE - 550 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Europe > Greece > Central Greece > Phthiotis > Tithorea, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1934.332,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-471664
453970,Attic red-figure stemless pottery cup depicting an athletics scene,container > vessel > cup > drinking-cup > stemless type C cup,ceramics,,"430 BCE - 420 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1943.1,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-453970
455499,Attic red-figure pottery chous,container > vessel > jug > wine-jug > oinochoe,ceramics,,"450 BCE - 440 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1965.128,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-455499
455072,Attic red-figure pottery krater depicting a Dionysiac scene,container > vessel > mixing vessel > krater > bell-krater,ceramics,,"420 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1943.9,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-455072
455073,Attic red-figure pottery pelike depicting a domestic scene,container > vessel > storage vessel > pelike,ceramics,,"440 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1966.853,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-455073
387712,Attic red-figure pottery chous depicting a scene of daily life,container > vessel > jug > wine-jug > oinochoe,ceramics,,"425 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Greece > South Aegean > Rhodes > Rhodes, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1966.874,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387712
387714,Attic red-figure pottery jug depicting a mythological figure,container > vessel > jug > wine-jug > oinochoe,ceramics,,"400 BCE - 375 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1945.2,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387714
387717,Attic black-figure pottery chous,container > vessel > jug > wine-jug > oinochoe,ceramics,,"480 BCE - 400 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1957.32,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387717
447313,Attic black-figure pottery neck-amphora depicting a battle scene,container > vessel > storage vessel > amphora > neck-amphora,ceramics, - ,"510 BCE - 500 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1984.943,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-447313
525287,Attic black-figure pottery oinochoe,container > vessel > jug > wine-jug > oinochoe > trefoil-mouth oinochoe,ceramics, - ,"550 BCE - 540 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1930.30,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-525287
593546,Attic black-figure pottery lekythos depicting a mythological scene,container > oil-container > perfume bottle > unguent jar > lekythos,ceramics,,"525 BCE - 500 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1999.151,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-593546
520731,Attic red-figure pottery lebes gamikos depicting a domestic scene,container > vessel > storage vessel > water jar > lebes gamikos,ceramics, - ,"440 BCE - 430 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Greece > South Aegean > Rhodes > Rhodes, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1951.17,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-520731
