Object Number,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Constituent ID,Artist Prefix,Artist Display Name,Artist Alpha Sort,Artist ULAN URL,Artist Wikidata URL,Culture,Period,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,_year_start,_year_end,Object Name,Title,Link Resource,Object Wikidata URL,Tags,Tags AAT URL,Tags Wikidata URL,Type,Decoration type,Female figures,Male figures,Myth,Record in MANTO,object_1,object_2,MANTO_result_1,MANTO_result_2,MANTO_result_3,MANTO_result_4,MANTO_result_5,MANTO_result_6
17.230.7,,,,,,,,,,,,,,,,,,,,,,TEST,TEST,,,,,,,,,,,,,,https://manto.unh.edu/viewer.p/60/2800/object/6582-11327727,https://manto.unh.edu/viewer.p/60/2800/object/6582-11327726,,,,
2011.233,True,257807.0,154.0,Greek and Roman Art,2011.0,5340.0,Attributed to the,Painter of London B 343,Painter of London B 343,http://vocab.getty.edu/page/ulan/500111303,,"Greek, Attic",Archaic,late 6th century BCE,-6.0,-6.0,Terracotta,"H. 13 3/8""
W. with handles 13 1/2""","Gift of Patricia Stickney, 2011",-6.0,-6.0,Stamnos (jar),Terracotta stamnos (jar),http://www.metmuseum.org/art/collection/search/257807,https://www.wikidata.org/wiki/Q116286914,Soldiers|Shields|Dogs|Horses|Chariots,http://vocab.getty.edu/page/aat/300185678|http://vocab.getty.edu/page/aat/300036869|http://vocab.getty.edu/page/aat/300265714|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300212699,https://www.wikidata.org/wiki/Q4991371|https://www.wikidata.org/wiki/Q131559|https://www.wikidata.org/wiki/Q144|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q203788,stamnos,,,,,,,,,,,,,
2014.249,True,623024.0,,Greek and Roman Art,2014.0,,,,,,,"Etruscan, Etrusco-Corinthian",Archaic,6th century BCE,-6.0,-6.0,Terracotta,H. 2 1/2 × W. 5 1/4 × D. 3 1/4 in. (6.4 × 13.3 × 8.3 cm),"Gift of Dean Boorman, in memory of Dr. Bashford Dean, 2014",-6.0,-6.0,Skyphos,Terracotta skyphos,http://www.metmuseum.org/art/collection/search/623024,,Men|Sphinx,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300375739,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q151480,skyphos,,,,,,,,,,,,,
06.1021.81,True,247248.0,,Greek and Roman Art,1906.0,4909.0,Attributed to the,Leagros Group,Leagros Group,http://vocab.getty.edu/page/ulan/500021673,https://www.wikidata.org/wiki/Q830436,"Greek, Attic",,,-7000.0,-30.0,Terracotta,12 1/2in. (31.8cm),"Rogers Fund, 1906",-7000.0,-30.0,Lekythos,Lekythos,http://www.metmuseum.org/art/collection/search/247248,,Women|Apollo|Dionysus|Hermes|Lyres,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ia/901000109|http://vocab.getty.edu/page/ia/901001029|http://vocab.getty.edu/page/ia/901000721|http://vocab.getty.edu/page/aat/300042114,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q37340|https://www.wikidata.org/wiki/Q41680|https://www.wikidata.org/wiki/Q41484|https://www.wikidata.org/wiki/Q201129,lekythos,,,,,,,,,,,,,
X.21.6,True,256593.0,,Greek and Roman Art,,,,,,,,"Greek, South Italian, Apulian",,,-7000.0,-30.0,Terracotta,H. 9.53 cm. Diameter 8.9 cm.,Uncertain,-7000.0,-30.0,Skyphos,Terracotta skyphos (drinking cup),http://www.metmuseum.org/art/collection/search/256593,,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,skyphos,,,,,,,,,,,,,
53.11.5,True,254778.0,162.0,Greek and Roman Art,1953.0,,,,,,,"Greek, Sicilian, Centuripe",Hellenistic,3rd–2nd century BCE,-299.0,-100.0,Terracotta,H. 15 1/2 in. (39.4 cm),"Purchase, Joseph Pulitzer Bequest, 1953",-299.0,-100.0,"Vase, funerary, wedding scene",Terracotta vase,http://www.metmuseum.org/art/collection/search/254778,https://www.wikidata.org/wiki/Q116405182,Weddings|Women,http://vocab.getty.edu/page/aat/300069158|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q49836|https://www.wikidata.org/wiki/Q467,unknown,,,,,,,,,,,,,
2001.731,True,257596.0,164.0,Greek and Roman Art,2001.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Hellenistic,late 3rd–early 2nd century BCE,-300.0,-100.0,Terracotta,H. 2 15/16 in. (7.5 cm); diameter  6 3/8 in. (16.2 cm),"The Bothmer Purchase Fund, 2001",-300.0,-100.0,"Bowl, deep",Terracotta deep bowl,http://www.metmuseum.org/art/collection/search/257596,https://www.wikidata.org/wiki/Q116287721,Dionysus,http://vocab.getty.edu/page/ia/901001029,https://www.wikidata.org/wiki/Q41680,unknown,,,,,,,,,,,,,
41.162.105,True,254277.0,171.0,Greek and Roman Art,1941.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Late Classical,late 4th–3rd century BCE,-330.0,-200.0,Terracotta,H. 1 15/16 in. (5 cm); diameter  4 7/16 in. (11.3 cm); width with handles  6 11/16 in. (17 cm),"Rogers Fund, 1941",-330.0,-200.0,Kylix,Terracotta stemless kylix (drinking cup),http://www.metmuseum.org/art/collection/search/254277,https://www.wikidata.org/wiki/Q116288528,Heads,http://vocab.getty.edu/page/aat/300375054,https://www.wikidata.org/wiki/Q3409626,kylix,,,,,,,,,,,,,
06.1021.276,True,247442.0,171.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Hellenistic,3rd century BCE,-299.0,-200.0,Terracotta,diameter  2 7/8in. (7.3cm),"Rogers Fund, 1906",-299.0,-200.0,"Phiale, fragmentary",Terracotta tondo from a phiale (libation bowl),http://www.metmuseum.org/art/collection/search/247442,https://www.wikidata.org/wiki/Q116290466,Gorgons,http://vocab.getty.edu/page/aat/300305364,https://www.wikidata.org/wiki/Q102059,unknown,,,,,,,,,,,,,
06.1021.277,True,247443.0,161.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Hellenistic,late 4th–3rd century BCE,-330.0,-200.0,Terracotta,Overall: 2 7/8 x 7 3/4 in. (7.3 x 19.7 cm),"Rogers Fund, 1906",-330.0,-200.0,"Kylix, stemless",Terracotta stemless kylix (drinking cup),http://www.metmuseum.org/art/collection/search/247443,https://www.wikidata.org/wiki/Q116290076,,,,kylix,,,,,,,,,,,,,
06.1021.275,True,247441.0,171.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Hellenistic,late 4th–3rd century BCE,-325.0,-200.0,Terracotta,diameter  3 7/8in. (9.8cm),"Rogers Fund, 1906",-325.0,-200.0,"Phiale, fragmentary",Terracotta tondo from a phiale (libation bowl),http://www.metmuseum.org/art/collection/search/247441,https://www.wikidata.org/wiki/Q116290472,Herakles,http://vocab.getty.edu/page/ia/901000042,https://www.wikidata.org/wiki/Q122248,unknown,,,,,,,,,,,,,
90.9.9,True,245546.0,171.0,Greek and Roman Art,1890.0,,,,,,,"Greek, Ptolemaic, Cretan",Hellenistic,late 3rd century BCE,-225.0,-200.0,Terracotta,"h. 15 1/4 in. (38.7 cm); d. 9 13/16 in. (25 cm.)
","Purchase, 1890",-225.0,-200.0,"Hydria, Hadra",Terracotta Hadra hydria (water jar),http://www.metmuseum.org/art/collection/search/245546,https://www.wikidata.org/wiki/Q116290016,Human Figures|Animals|Urns,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300129425,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q11083119,hydria,,,,,,,,,,,,,
06.1021.278,True,247444.0,161.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Hellenistic,late 4th–3rd century BCE,-330.0,-200.0,Terracotta,H.: 2 x 4 7/8 in. (5.1 x 12.4 cm),"Rogers Fund, 1906",-330.0,-200.0,"Kylix, stemless",Terracotta stemless kylix (drinking cup),http://www.metmuseum.org/art/collection/search/247444,https://www.wikidata.org/wiki/Q116290061,Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441,kylix,,,,,,,,,,,,,
90.9.44,True,245571.0,,Greek and Roman Art,1890.0,,,,,,,"Greek, Egypt, Alexandria-Hadra",Hellenistic,3rd century BCE,-299.0,-200.0,Terracotta,Overall: 17 5/8 x 12 3/8 in. (44.8 x 31.4 cm),"Purchase, 1890",-299.0,-200.0,"Hydria, Hadra",Terracotta Hadra hydria (water jar),http://www.metmuseum.org/art/collection/search/245571,,Pegasus,http://vocab.getty.edu/page/ia/901000756,https://www.wikidata.org/wiki/Q162797,hydria,,,,,,,,,,,,,
24.97.120,True,251547.0,163.0,Greek and Roman Art,1924.0,,,,,,,"Greek, Sicilian, Centuripe",Hellenistic,3rd century BCE,-299.0,-200.0,Terracotta,H. 7 1/16 in. (17.9 cm),"Fletcher Fund, 1924",-299.0,-200.0,Lebes gamikos and lid,Terracotta lebes gamikos (jar associated with weddings) with lid,http://www.metmuseum.org/art/collection/search/251547,https://www.wikidata.org/wiki/Q116287760,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,lebes gamikos,,,,,,,,,,,,,
41.162.107,True,254279.0,171.0,Greek and Roman Art,1941.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Late Classical,late 4th–3rd century BCE,-330.0,-200.0,Terracotta,H. 1 15/16 in. (5 cm); diameter  4 13/16 in. (12.3 cm); width with handles  7 1/8 in. (18.1 cm),"Rogers Fund, 1941",-330.0,-200.0,Kylix,Terracotta stemless kylix (drinking cup),http://www.metmuseum.org/art/collection/search/254279,https://www.wikidata.org/wiki/Q116288494,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,kylix,,,,,,,,,,,,,
"06.1021.253a, b",True,247418.0,162.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Apulian, Canosan",Early Hellenistic,late 4th–early 3rd century BCE,-330.0,-275.0,Terracotta,"H. 5 1/2 in. (14 cm)
diameter  10 1/2 in. (26.7 cm)","Rogers Fund, 1906",-330.0,-275.0,Pyxis,Terracotta pyxis (box),http://www.metmuseum.org/art/collection/search/247418,https://www.wikidata.org/wiki/Q116402356,Eros,http://vocab.getty.edu/page/ia/901000613,https://www.wikidata.org/wiki/Q121973,pyxis,,,,,,,,,,,,,
