url,title,museum_number
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38808,Attic white ground lekythos,NM47.20
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37984,Attic red figure cup,NM98.22
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37982,Detailed Object Record,NM46.42
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38788,Detailed Object Record,NM51.12
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38243,Attic black figure komast cup,NM51.9
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38823,Lucanian skyphos,NM53.30
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40454,Apulian red figure squat lekythos,NM62.805
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33180,Bowl,NM98.77
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41958,Detailed Object Record,NM98.155
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.31333,Attic red figure lekythos,NM62.874
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33403,Detailed Object Record,NM98.55
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33407,Sicilian lekanis lid,NM98.69
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33850,Sicilian lekanis lid,NM51.16
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.34470,Attic black figure lekythos,NM84.100
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.34473,Detailed Object Record,NM62.875
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.34476,Attic lekythos,NM84.99
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.34477,Attic black figure lekythos,NM84.127
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.39145,Attic white ground lekythos,NM53.26
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41170,Attic black figure lekythos,NM98.146
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.43087,Corinthian alabastron,NM97.79.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.43152,"Attic black figure neck amphora, fragment of rim, neck and handles",NM48.283.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.82287,South Italian red figure kylix,NM2012.3
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.97947,Attic Black figure cup,NM98.152.1-7
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.212458,Detailed Object Record,NM2019.378
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.31331,Attic white ground lekythos,NM48.16
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.32547,Apulian red figure hydria,NM98.54
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.32700,Apulian red figure bell krater,NM98.153
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33178,Detailed Object Record,NM98.56
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33179,Detailed Object Record,NM98.57
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33181,Apulian red figure oinochoe,NM52.59
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33182,Apulian red figure squat lekythos,NM98.48
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33265,Apulian red figure chous,NM62.803
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33266,Apulian red figure pelike,NM98.59
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33267,Apulian red figure pelike,NM98.73
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33268,Campanian bell krater,NM53.13
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33401,Apulian red figure pelike,NM98.52
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33402,Apulian red figure bell krater,NM98.53
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33404,Apulian red figure pelike,NM98.64
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33405,Apulian red figure pelike,NM98.66
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33406,Apulian red figure pelike,NM98.67
